,id,text,cluster_id
0,154,думаю я мог бы и один это сделать,1
1,407,том больше не хотел об этом думать,1
2,310,почему никто нам не помогает,2
3,160,он никогда мне не помогает,2
4,318,я никого здесь не знаю,3
5,131,я здесь никого не знаю,3
6,65,почему все на нас смотрят,4
7,380,почему вса на нас смотрят,4
8,311,я просто хоку исчезнуть,5
9,235,я просто хочу исчезнуть,5
10,371,том сказал что ничего не хочет есть,6
11,317,что том на это скажет,6
12,244,я встретил его случайно на улице,7
13,354,я его случайно встретил на улице,7
14,94,здесь есть поблизости банан,8
15,204,здесь поблизости есть банан,8
16,261,я не могу жить без тома,9
17,192,я жить не могу без тома,9
18,60,том не может жить без мир,9
19,241,том не был занят,10
20,201,мы не были так заняты,10
21,209,у меня тоже сегодня контрольная,11
22,403,у меня сегодня тоже контрольная,11
23,156,у тебя есть дома компьютер,12
24,95,у меня нет дома компьютера,12
25,119,извините я хотел бы это примерить,13
26,53,извините я хотел бы кто примерить,13
27,398,я знаю что том сейчас в бостоне,14
28,33,я живу сейчас в бостоне,14
29,55,ты не будешь один,15
30,202,ты не здесь один,15
31,320,я сейчас живу в бостоне,16
32,177,том не живёт в бостоне,16
33,325,том сейчас не живёт в бостоне,16
34,297,я не живу в бостоне,16
35,23,я ничего не хочу делать,17
36,164,том обещал никогда этого больше не делать,17
37,90,я не хотел ввести никого в заблуждение,18
38,404,я никого не хотел ввести в заблуждение,18
39,13,у него тогда не было с собой денег,19
40,4,у него с собой не было тогда денег,19
41,170,ты едешь на поезде или на машине,20
42,224,ты на поезде едешь или на машине,20
43,381,сколько шебе тогда было лет,21
44,151,сколько тебе тогда было лет,21
45,88,многие птицы осенью улетают на юг,22
46,250,многие птицы на зиму улетают на юг,22
47,100,я сделал это всё для тебя,23
48,43,я хочу что-нибудь сделать для тома,23
49,138,том ничего нам не платит,24
50,104,тём ничего нам не платит,24
51,2,почему она так со мной поступает,25
52,15,почему она так с ней поступает,25
53,172,почему она с ним так поступает,25
54,234,почему она так с ним поступает,25
55,350,я бы хотел куриного супа,26
56,374,я хотел бы куриного супа,26
57,59,она все свои деньги тратит на одежду,27
58,386,она тратит все свои деньги на одежду,27
59,19,я не могу больше ждать,28
60,212,мы больше не хотим ждать,28
61,397,он больше не может ждать,28
62,71,я больше не могу ждать,28
63,205,том не хотел никуда идти,29
64,176,мне сегодня не нужно никуда идти,29
65,210,они провели три года в тюрьме,30
66,40,они три года провели в тюрьме,30
67,375,том уже должен быть дола,31
68,288,том уже должен быть дома,31
69,70,почему они так с ним поступают,32
70,5,почему они с нами так поступают,32
71,150,почему он так со мной поступает,32
72,167,ты в футбол играешь или в регби,33
73,124,ты играешь в футбол или регби,33
74,308,он очень этого хочет,34
75,326,том очень мне помог,34
76,93,я покажу вам несколько фотографий,35
77,199,я вам покажу несколько фотографий,35
78,87,том не хочет никого видеть,36
79,293,том сегодня не хочет никого видеть,36
80,279,том не хочет сегодня никого видеть,36
81,355,какая гора самая высокая в европе,37
82,117,лакая гора самая высокая в европе,37
83,84,какая гора самая высокая в мире,37
84,153,он не сказал но ни слова,38
85,335,он не сказал мне ни слова,38
86,285,чем ты завтра будешь заниматься в это время,39
