,id,text,cluster_id
0,29,мы не были готовы,1
1,201,мы не были так заняты,1
2,218,они не были готовы,1
3,143,он не был готов,2
4,331,он был не готов,2
5,21,том был просто не готов,2
6,206,я не хочу ничего читать,3
7,214,я ничего не хочу читать,3
8,267,я не хочу ничего пить,3
9,34,я ничего не хочу пить,3
10,23,я ничего не хочу делать,3
11,310,почему никто нам не помогает,4
12,160,он никогда мне не помогает,4
13,409,том ещё нас не видел,5
14,339,я их сегодня не видел,5
15,265,он больше не может идти,6
16,397,он больше не может ждать,6
17,158,он не может больше идти,6
18,187,том ничего нам не дал,7
19,92,том нам ничего не дал,7
20,219,я ничего им не дал,7
21,407,том больше не хотел об этом думать,8
22,345,я ничего не хочу об этом знать,8
23,276,я ему всё рассказываю,9
24,337,я всё им рассказываю,9
25,122,том тогда был здесь,10
26,132,том был тогда здесь,10
27,232,том ничего мне не говорит,11
28,323,том ещё ничего мне не сказал,11
29,249,том ничего мне не моворит,11
30,264,я написал вчера письмо,12
31,26,я написал влера письмо,12
32,197,я только что это сделал,13
33,108,том уже это сделал,13
34,12,тебе это всё нравится,14
35,314,кто тебе это всё сказал,14
36,277,кто тебе это всё сказал,14
37,209,у меня тоже сегодня контрольная,15
38,403,у меня сегодня тоже контрольная,15
39,311,я просто хоку исчезнуть,16
40,235,я просто хочу исчезнуть,16
41,202,ты не здесь один,17
42,55,ты не будешь один,17
43,126,у меня дома нет компьютера,18
44,95,у меня нет дома компьютера,18
45,241,том не был занят,19
46,139,я сегодня не был занят,19
47,221,я не был сегодня занят,19
48,245,том сегодня мне это сказал,20
49,62,том мне сегодня это сказал,20
50,129,я ничего не могу найти,21
51,346,я их тоже не могу найти,21
52,332,я не могу ничего найти,21
53,36,мы ничего не можем сделать,22
54,402,больше мы для него ничего не можем сделать,22
55,302,мы не можем ничего сделать,22
56,287,том действует мне на нервы,23
57,163,том мне действует на нервы,23
58,253,я хотел бы порисовать,24
59,116,я бы хотел порисовать,24
60,91,что сделёл том с деньгами,25
61,9,что сделал том с деньгами,25
62,376,тому нужен был молоток,26
63,193,тому был нужен молоток,26
64,190,у тебя дома есть компьютер,27
65,156,у тебя есть дома компьютер,27
66,194,он тогда был в америке,28
67,189,он был тогда в америке,28
68,274,он мне сделал комплимент,29
69,360,он сделал мне комплимент,29
70,379,я знаю что для тебя это важно,30
71,328,я знаю что это для тебя важно,30
72,204,здесь поблизости есть банан,31
73,94,здесь есть поблизости банан,31
74,121,том меня всегда смешит,32
75,61,том всегда меня смешит,32
76,366,мне больше нечего переводить,33
77,294,мне нечего больше переводить,33
78,231,им были нужны деньги,34
79,330,им нужны были деньги,34
80,215,все они говорят что невиновны,35
81,183,все говорят что они невиновны,35
82,333,фильм мне показался интересным,36
83,227,фильм показался мне интересным,36
84,211,я буду там в пять,37
85,309,я там буду в пять,37
86,86,что дол пел на сцене,38
87,25,что пел дол на сцене,38
