,id,text,cluster_id
0,70,почему они так с ним поступают,1
1,5,почему они с нами так поступают,1
2,249,том ничего мне не моворит,2
3,232,том ничего мне не говорит,2
4,122,том тогда был здесь,3
5,132,том был тогда здесь,3
6,235,я просто хочу исчезнуть,4
7,311,я просто хоку исчезнуть,4
8,135,том никогда больше тебя не увидит,5
9,112,том никогда тебя больше не увидит,5
10,264,я написал вчера письмо,6
11,26,я написал влера письмо,6
12,345,я ничего не хочу об этом знать,7
13,407,том больше не хотел об этом думать,7
14,173,том не может сегодня прийти,8
15,56,том сегодня не может прийти,8
16,66,том здесь больше не работает,9
17,107,том больше здесь не работает,9
18,360,он сделал мне комплимент,10
19,274,он мне сделал комплимент,10
20,36,мы ничего не можем сделать,11
21,302,мы не можем ничего сделать,11
22,402,больше мы для него ничего не можем сделать,11
23,227,фильм показался мне интересным,12
24,333,фильм мне показался интересным,12
25,131,я здесь никого не знаю,13
26,318,я никого здесь не знаю,13
27,366,мне больше нечего переводить,14
28,294,мне нечего больше переводить,14
29,61,том всегда меня смешит,15
30,121,том меня всегда смешит,15
31,326,том очень мне помог,16
32,169,том очень мае помог,16
33,163,том мне действует на нервы,17
34,287,том действует мне на нервы,17
35,323,том ещё ничего мне не сказал,18
36,245,том сегодня мне это сказал,18
37,176,мне сегодня не нужно никуда идти,19
38,205,том не хотел никуда идти,19
39,398,я знаю что том сейчас в бостоне,20
40,33,я живу сейчас в бостоне,20
41,271,я не хочу с тобой больше играть,21
42,7,я больше не хочу с тобой играть,21
43,102,мне было не с кем поговорить,22
44,322,тому было не с кем играть,22
45,178,я вчера неплохо провёл время,23
46,324,я неплохо провёл вчера время,23
47,108,том уже это сделал,24
48,286,кто-то это уже сделал,24
49,285,чем ты завтра будешь заниматься в это время,25
50,48,чем ты будешь заниматься завтра в это время,25
51,330,им нужны были деньги,26
52,231,им были нужны деньги,26
53,335,он не сказал мне ни слова,27
54,153,он не сказал но ни слова,27
55,54,кто мне может это объяснить,28
56,272,кто может мне это объяснить,28
57,81,том хочет меня сейчас видеть,29
58,10,том меня сейчас хочет видеть,29
59,71,я больше не могу ждать,30
60,19,я не могу больше ждать,30
61,209,у меня тоже сегодня контрольная,31
62,403,у меня сегодня тоже контрольная,31
63,194,он тогда был в америке,32
64,189,он был тогда в америке,32
65,254,мне будут нужны подробности,33
66,35,мне нужны будут подробности,33
67,192,я жить не могу без тома,34
68,261,я не могу жить без тома,34
69,95,у меня нет дома компьютера,35
70,126,у меня дома нет компьютера,35
71,346,я их тоже не могу найти,36
72,332,я не могу ничего найти,36
73,129,я ничего не могу найти,36
74,14,я его больше не увижу,37
75,101,я больше его не увижу,37
76,406,я бы хотел выучить латышский,38
77,180,я бы хотел выучить латышсккй,38
78,74,я сейчас не могу говорить,39
79,97,я не могу сейчас говорить,39
80,179,у меня есть кое-что для тома,40
81,284,у меня кое-что есть для тома,40
82,364,я им сам позвоню,41
83,292,я ему сам позвоню,41
84,404,я никого не хотел ввести в заблуждение,42
85,90,я не хотел ввести никого в заблуждение,42
86,241,том не был занят,43
87,139,я сегодня не был занят,43
88,266,никто больше туда не ходит,44
89,3,никто туда больше не ходит,44
90,252,мне было нечего скрывать,45
91,130,мне нечего было скрывать,45
