,id,text,cluster_id
0,2,почему она так со мной поступает,1
1,150,почему он так со мной поступает,1
2,279,том не хочет сегодня никого видеть,2
3,293,том сегодня не хочет никого видеть,2
4,87,том не хочет никого видеть,2
5,323,том ещё ничего мне не сказал,3
6,245,том сегодня мне это сказал,3
7,158,он не может больше идти,4
8,265,он больше не может идти,4
9,184,том больше не может здесь оставаться,4
10,397,он больше не может ждать,4
11,221,я не был сегодня занят,5
12,123,мы только что их нашли,6
13,363,они только что их нашли,6
14,268,я бы хотел быть камнем,7
15,49,я хотел бы быть камнем,7
16,85,том не может сейчас подойти к телефону,8
17,259,том сейчас не может подойти к телефону,8
18,348,она была тогда маленькой девочкой,9
19,226,она была не готова,9
20,384,она не была готова,9
21,379,я знаю что для тебя это важно,10
22,328,я знаю что это для тебя важно,10
23,100,я сделал это всё для тебя,10
24,288,том уже должен быть дома,11
25,375,том уже должен быть дола,11
26,178,я вчера неплохо провёл время,12
27,324,я неплохо провёл вчера время,12
28,118,я хочу сделать что-то со своей жизною,13
29,64,я хочу сделать что-то со своей жизнью,13
30,330,им нужны были деньги,14
31,231,им были нужны деньги,14
32,83,никто не знает что на самом деле происходит,15
33,106,никто не знает что на самом деле происходит,15
34,104,тём ничего нам не платит,16
35,138,том ничего нам не платит,16
36,194,он тогда был в америке,17
37,122,том тогда был здесь,17
38,346,я их тоже не могу найти,18
39,332,я не могу ничего найти,18
40,129,я ничего не могу найти,18
41,252,мне было нечего скрывать,19
42,130,мне нечего было скрывать,19
43,203,мне пришлось всё делать самому,20
44,298,мне пришлось делать всё самому,20
45,352,том всё мне расскатал,21
46,232,том ничего мне не говорит,21
47,342,том всё мне рассказал,21
48,302,мы не можем ничего сделать,22
49,36,мы ничего не можем сделать,22
50,402,больше мы для него ничего не можем сделать,22
51,213,я никогда от тебя ничего не скрывал,23
52,401,я никогда ничего от тебя не скрывал,23
53,343,пусть это свиньи едят,24
54,22,пусть свиньи это едят,24
55,389,я только что его исправил,25
56,236,я только что его доделал,25
57,394,мост очень длинный и очень высокий,26
58,20,мост очень длинный и высокий,26
59,218,они не были готовы,27
60,359,мы были не готовы,27
61,29,мы не были готовы,27
62,291,они были не готовы,27
63,275,что ты ещё сделал,28
64,300,я ещё этого не сделал,28
65,304,я этого ещё не сделал,28
66,13,у него тогда не было с собой денег,29
67,4,у него с собой не было тогда денег,29
68,214,я ничего не хочу читать,30
69,206,я не хочу ничего читать,30
70,93,я покажу вам несколько фотографий,31
71,199,я вам покажу несколько фотографий,31
72,144,я не живу в финляндии,32
73,229,я живу не в финляндии,32
74,270,том очень этим гордился,33
75,169,том очень мае помог,33
76,326,том очень мне помог,33
77,282,я больше никогда не увижу тома,34
78,257,я никогда больше не увижу тома,34
79,14,я его больше не увижу,34
80,113,я бы тоже хотел услышать твой голос,35
81,319,я тоже хотел бы услышать твой голос,35
82,50,я рмогу там быть через час,36
83,312,я смогу там быть через час,36
84,331,он был не готов,37
85,143,он не был готов,37
86,148,говорят в горах погода быстро меняется,38
87,313,говорят погода в горах быстро меняется,38
88,79,я всё ей рассказываю,39
89,222,том ест яблоко или банан,40
90,161,том яблоко ест или банан,40
91,41,вчера был просто не мой день,41
92,145,вчера просто был не мой день,41
93,364,я им сам позвоню,42
94,292,я ему сам позвоню,42
95,255,я бы хотел столик у окна,43
96,103,я хотел бы столик у окна,43
97,338,том уже выпил три чашки кофе,44
98,347,том выпил уже три чашки кофе,44
99,277,кто тебе это всё сказал,45
100,314,кто тебе это всё сказал,45
101,84,какая гора самая высокая в мире,46
102,355,какая гора самая высокая в европе,46
103,117,лакая гора самая высокая в европе,46
104,149,мне придётся это ещё раз обдумать,47
105,174,мне придётся это ещё раз обдумать,47
106,247,они мои не настоящие родители,48
107,361,они не мои настоящие родители,48
108,406,я бы хотел выучить латышский,49
109,180,я бы хотел выучить латышсккй,49
